ID,Unnamed: 0,Date,city,race_n_time,Racer,Racer_1,LAST_RACER_SAME_AS_CURRENT_RACER,LAST_RACER_SAME_AS_CURRENT_RACER_BINARY,Yas,Speed_in_Secs,GANYAN_TRANS,GANYAN_TRANS_INT,RANK,AG_Percentage,AG_RANK_AMONG_GROUP,AG_RANKING_Score_Normalized,Ranking_Score_Normalized,First_Position_Percentage,Second_Position_Percentage,Third_Position_Percentage,Fourth_Position_Percentage,TOP_THREE_RACER_PERCENTAGE,RANK_LATEST_1ST,RANK_LATEST_2ND,RANK_LATEST_3RD,RANK_LATEST_4TH,RANK_LATEST_5TH,TOPLAM_RACES,TOPLAM_1ST,TOPLAM_2ND,TOPLAM_3RD,TOPLAM_4TH,BIRINCILIK_PERCENTAGE,IKINCILIK_PERCENTAGE,UCUNCULUK_PERCENTAGE,DORDUNCULUK_PERCENTAGE,SPEED_LATEST_1ST,SPEED_LATEST_2nd,SPEED_LATEST_3rd,SPEED_LATEST_4th,SPEED_LATEST_5th,RANK.1,Ranking_Score_Normalized.1,kosu,kosu_saati,at_yası,at_ana,at_baba,Mevsim,KG,K,DB,SK,SKG,TS,GKR,AP,YP,TGK,ÖG,KGS,SGKR,DS
VİKONYA(4) KG  ,303597,03/06/2019,Bursa,4. Koşu:16:30,B.M.MIRIK,B.M.MIRIK,True,1,5y k k,129.43,4.8,480,1,10.0,3,84,100,9,10,11,11,30,1.0,3.0,4.0,2.0,4.0,41,6,7,7,5,14,17,17,12,13.9071312678668,14.09343950391093,14.93333333333333,14.42377037357565,14.34926101305783,1,100,4,16:30,5,k,k,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THALASSA(12) KG  K    ,303599,03/06/2019,Bursa,3. Koşu:16:00,OĞUZ EREN,OĞUZ EREN,True,1,2y d d,76.24,23.5,2350,10,1.0,8,57,50,8,8,8,9,24,10.0,,,,,1,0,0,0,0,0,0,0,0,14.42812172088143,,,,,10,50,3,16:00,2,d,d,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BABA MERDAN(1) KG  DB  SK  ,303609,03/06/2019,Bursa,2. Koşu:15:30,ALP.OLUK,ALP.OLUK,True,1,4y d a,115.1,12.95,1295,10,4.0,8,57,50,11,9,11,10,31,10.0,4.0,4.0,3.0,6.0,36,5,7,3,6,13,19,8,16,15.6385751520417,16.47989452867502,16.2046908315565,16.26412946247052,14.9902563333833,10,50,2,15:30,4,d,a,yaz,1,0,1,1,0,0,0,0,0,0,0,0,0,0
ONTUĞ(14),303647,29/05/2019,Elazığ,9. Koşu:21:30,M.B.ÇAKMAK,M.B.ÇAKMAK,True,1,5y d a,114.51,20.75,2075,11,2.0,11,16,23,7,6,7,8,20,11.0,6.0,8.0,11.0,9.0,29,7,4,3,3,24,13,10,10,13.97257881407737,14.06997467404559,13.5795763172189,12.22933601899144,15.25220612267131,11,23,9,21:30,5,d,a,ilkbahar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
İLKERBEYLİ(3) DB  SKG  SK  ÖG  ,303648,29/05/2019,Elazığ,9. Koşu:21:30,G.KILIÇ,F.FELHAN,False,0,5y d a,109.81,13.0,1300,4,7.0,5,66,76,10,10,10,10,30,17.0,4.0,5.0,6.0,13.0,51,7,6,5,3,13,11,9,5,,14.57062198342592,14.81335176772664,15.11906261811768,13.8864780420066,4,76,9,21:30,5,d,a,ilkbahar,0,0,1,1,1,0,0,0,0,0,1,0,0,0
SEREZLİ HANIM(13) KG  SK  ,303687,07/06/2019,Bursa,8. Koşu:17:30,İ.DİNAR,İ.DİNAR,True,1,3y d d,84.47,70.5,7050,8,0.0,11,44,63,6,6,7,8,19,8.0,8.0,9.0,,,3,0,0,0,0,0,0,0,0,14.20622706286255,12.89213579716373,14.18073997679515,,,8,63,8,17:30,3,d,d,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
BABAZEYTİN(12),303691,07/06/2019,Bursa,9. Koşu:18:00,E.KADİRLER,E.KADİRLER,True,1,4y d a,126.19,169.55,16955,17,0.0,19,0,15,5,3,0,8,8,17.0,14.0,8.0,10.0,9.0,9,0,0,0,0,0,0,0,0,14.26420477058404,13.22031262151023,14.01050788091068,12.89629231595916,13.02931596091205,17,15,9,18:00,4,d,a,yaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEREKEME BEYİ(11) KG  DB  ,303692,07/06/2019,İstanbul,10. Koşu:21:30,GÖK.BEKTAŞ,GÖK.BEKTAŞ,True,1,4y k a,154.01,39.65,3965,8,1.0,12,15,46,7,6,7,8,20,8.0,5.0,6.0,7.0,11.0,5,0,0,0,0,0,0,0,0,13.63547821570028,13.68145023372478,12.81312063553078,12.85868976719004,13.19012624835123,8,46,10,21:30,4,k,a,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DİRİLİŞ(15) KG  DB  ,303695,07/06/2019,Bursa,9. Koşu:18:00,M.DEMİRBAŞ,M.DEMİRBAŞ,True,1,4y a a,127.85,40.05,4004,19,1.0,18,5,5,11,10,10,10,31,19.0,15.0,7.0,8.0,8.0,14,1,0,0,2,7,0,0,14,14.0789988267501,13.93016344725111,12.16841080554879,13.00897619357356,12.70053475935829,19,5,9,18:00,4,a,a,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BURHAN USTA(11) KG  SK    ,303700,07/06/2019,Bursa,9. Koşu:18:00,H.ÇAKMAK,H.ÇAKMAK,True,1,4y a a,127.88,47.4,4740,20,0.0,13,33,0,5,7,6,7,18,20.0,10.0,13.0,7.0,11.0,12,0,0,2,1,0,0,16,8,14.07569596496716,14.2314990512334,13.32288401253919,13.05199042854035,13.04435079269516,20,0,9,18:00,4,a,a,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
